eo_ma_index,EIN,NAME,ICO,SORT_NAME
41,10557632.0,FRIENDS OF ASHA USA INC,% LOUANNE HEMPTON,ASHA USA
375,22257809.0,WALPOLE POP WARNER FOOTBALL ASSOCIATION INC,% MYLES REAGAN,WALPOLE POP WARNER FOOTBALL
515,36102865.0,NEW ENGLAND SPORTS TURF MANAGERS FOUNDATION TR,% RICHARD CALAREO,CONNELLY JAMES ET AL TTEE
3201,42473505.0,PROJECT CONTEMPORARY COMPETITIVENESS INC,,STONEHILL COLLEGE
3869,42602850.0,COMHALTAS CEOLTOIRI EIREANN,% TARA LYNCH,HANFIN-COOLEY BRANCH
4907,42699390.0,ROBERT L FORTES HOUSE INC,,ETC DEVELOPMENT CORP
4916,42700587.0,ARNOLD L ANDERSON HOUSE INC,,KATHLEEN OBRIEN
6306,42875170.0,SPRINGFIELD PREGNANCY CARE CENTER INC,,180 CHAPTER
6717,42952657.0,CAPEN HILL NATURE ASSOCIATION INC,,CAPEN HILL NATURE SANCTUARY
7278,43050543.0,NORFOLK SOCCER INC,% TODD LINDMARK,ATTN TREASURER
7668,43099818.0,CAPE C A R E S,,CENTRAL AMERICAN RELIEF EFFORTS INC
7981,43131458.0,REALTOR ASSOCIATION OF PIONEER VALLEY CHARITABLE EDUCATION FUND,,GSAR
8307,43160976.0,BOSTON ULTIMATE DISC ALLIANCE INC,% IAN MARLIER,BUDA
9175,43244539.0,CATTRAP INC,% CAROL BLACK,HUFF LAURIE
9238,43249672.0,SOUTHEASTERN MASSACHUSETTS FESTIVAL CHORUS INC,,BROWN ERIC N
9242,43249933.0,H E A R T S OF THE FATHER OUTREACH INC,% JOHN ALLEN MORITZ,MORITZ JOHN ALLEN
9446,43266589.0,RESOLVE OF THE BAY STATE INC,,DBA RESOLVE OF NEW ENGLAND
9469,43268599.0,ASSOCIATION OF HAITIAN WOMEN INC,% ARIELLE ADRIEN,AFAB
9762,43290504.0,MINISTERIO LOS MILAGROS DE JESUS INC,% JULIA POLANCO,FOOD FOR THE WORLD INC
9924,43302864.0,MASSACHUSETTS SKI AREA ASSOCIATION,% TOM GILBERT,M S A A
10615,43377072.0,C O R E S INC,,CORES INC
10783,43397617.0,FRIENDS OF THE COMMUNITY GROWING CENTER INC,% SARAH MOYLAN,LISA KITCHELL
11054,43422150.0,CHARLESTOWN SPROUTS INC,,GERALD ROBBINS
11056,43422324.0,RUSSO FAMILY CHARITABLE FOUNDATION TR,% COLONY GROUP,RUSSO DEVETTE TTEE
11321,43446656.0,ZULLO GALLERY CENTER FOR THE ARTS,% STEVEN B BORIS,POPE WILLIAM TTEE
11372,43453456.0,NATIONAL LAWYERS GUILD INC,,MASSACHUSETTS CHAPTER
11451,43463245.0,SARAH H WILLIAMS TREASURE HUNT FARM FOUNDATION,% SARAH H WILLIAMS TREASURE HUNT FA,HAMMER STUART A TTEE
11476,43465584.0,KNIGHTS OF COLUMBUS FOUNDATION,% FFT,BISHOP RICE COUNCIL 4822
11765,43490716.0,LOCAL 2222 IBEW BENEVOLENT FUND TR,% EDWARD V HASTINGS TTEE,LEARY GERALD P TTEE
11809,43493147.0,HAMERMESH FAMILY CHARITABLE FOUNDATION,% RICHARD G HAMERMESH,HAMERMESH RICHARD G TTEE
11830,43494129.0,DOUGLASS FAM CHARITABLE FOUNDATION,% G W & WADE INC,DOUGLASS ANDREW S TTEE
12949,43719512.0,AYER PUBLIC ACCESS CORPORATION,% JANET PROVIDAKES,APAC
13343,46047069.0,SYLVESTER MEMORIAL FUND INCORPORATED,% THOMAS P HALL TTEE,HALL THOMAS P TTEE
