,Unnamed: 0,EIN,NAME,ICO,SORT_NAME,domain_url
0,62,10595450.0,VISITATION HOUSE INC,% EVELYN LINDQUIST,,https://www.visitationhouse.org/
1,78,10628266.0,BUILDING FUTURES INC,% PAUL J GIORGIO,,http://www.bfiwha.org/
2,1085,41988530.0,WORCESTER ART MUSEUM,% DIRECTOR,,https://www.worcesterart.org/
3,1090,41988955.0,WORCESTER COUNTY MECHANICS ASSOCIATION,% MECHANICS HALL,,https://mechanicshall.org
4,1325,42103652.0,AMERICAN ANTIQUARIAN SOCIETY,% CAROL ANN MACKEY,,https://www.americanantiquarian.org/
5,1363,42103803.0,JEWISH HEALTHCARE CENTER INC,% EMILY BOMBA,,https://www.jhccenter.org/
6,1372,42103825.0,VNA CARE NETWORK INC,% CRYSTAL WELLWOOD,,https://vnacare.org/
7,1384,42103856.0,GIRL SCOUTS OF CENTRAL AND WESTERN MASSACHUSETTS INC,% GIRL,,https://www.gscwm.org/
8,1389,42103867.0,EASTER SEALS MASSACHUSETTS INC,,,https://www.easterseals.com
9,1432,42104017.0,UNITED WAY OF CENTRAL MASSACHUSETTS INC,% JAMES HAYES,,https://unitedwaycm.org/
10,1482,42104239.0,FRIENDLY HOUSE INC,% DELIA BELTRE,,https://www.friendlyhousema.org/
11,1546,42104363.0,JEWISH FEDERATION OF CENTRAL MASSACHUSETTS INC,% EDIE RYAN,,https://www.jewishcentralmass.org/
12,1563,42104414.0,ODD FELLOWS HOME OF MASSACHUSETTS,% SUSAN CUSSON BREND BYRON,,https://oddfellowshome.com/
13,1683,42105800.0,VISITING NURSE ASSOCIATION OF BOSTON INC,% CRYSTAL WELLWOOD,,https://vnacare.org/
14,1697,42105851.0,BOYS AND GIRLS CLUB OF WORCESTER,% KATIE ROY,,https://www.bgcworcester.org/
15,1702,42105859.0,WORCESTER CENTER FOR CRAFTS INC,% BRIAN RESTREPO,,https://worcestercraftcenter.org/
16,1704,42105868.0,WORCESTER NATURAL HISTORY SOCIETY,,,https://ecotarium.org
17,1705,42105873.0,YWCA CENTRAL MASSACHUSETTS INC,,,https://ywcacm.org/
18,1711,42105885.0,YOUNG MENS CHRISTIAN ASSOCIATION OF WORCESTER,% YMCA,,https://www.ymcaofcm.org/
19,1941,42123666.0,GIRLS INCORPORATED OF WORCESTER,% TAMMY BROWN,,https://www.girlsincworcester.org/
20,2024,42133874.0,EDWARD STREET DAY CARE CENTER INC,% EVE GILMORE,,https://www.edwardstreet.org/
21,2211,42171207.0,MUSIC WORCESTER INC,% GRKB,,https://www.musicworcester.org/
22,2283,42195415.0,JUNIOR LEAGUE OF WORCESTER INC,,,https://jlwma.org/
23,2697,42309329.0,REGATTA POINT COMMUNITY SAILING INC,,,https://regattapoint.org/
24,2751,42317926.0,BIG BROTHERS BIG SISTERS OF CENTRAL MASS METROWEST INC,% BEN TICHO,,https://bbbscm.org/
25,2875,42382160.0,WORCESTER COMMUNITY ACTION COUNCIL INC,% FINANCE DEPARTMENT,,https://wcac.net/
26,2971,42418109.0,ADCARE EDUCATIONAL INSTITUTE INC,,,https://adcare-educational.org/
27,3074,42446242.0,COMMUNITY LEGAL AID INC,,,https://communitylegal.org/
28,3096,42449880.0,WEBSTER SQUARE DAY CARE CENTER INC,,,https://www.webstersquaredaycarecenter.org/
29,3115,42453851.0,PERNET FAMILY HEALTH SERVICE INC,,,https://www.pernetfamilyhealth.org/
30,3117,42454675.0,RCAP SOLUTIONS INC,,,https://www.rcapsolutions.org/
31,3189,42470999.0,WORCESTER YOUTH ORCHESTRAS INC,% TREASURER,,http://www.worcesteryouthorchestras.org/
32,3226,42478978.0,SPECTRUM HEALTH SYSTEMS INC,,,https://www.spectrumhealthsystems.org/
33,3247,42484586.0,WORCESTER COMPREHENSIVE CHILD CARE SERVICES INC,% RICHARD C CHOUINARD,,https://www.worcestercomprehensive.org/
34,3255,42485308.0,FAMILY HEALTH CENTER OF WORCESTER INC,,,https://fhcw.org/
35,3322,42500578.0,WICN PUBLIC RADIO INC,% KATE TRAVELINE,,https://wicn.org/
36,3363,42507815.0,RAINBOW CHILD DEVELOPMENT CENTER INC,,,https://rainbowcdc.com/
37,3392,42513817.0,EDWARD M KENNEDY COMMUNITY HEALTH CENTER INC,% LEO AUDETTE CFO,,https://www.kennedychc.org/
38,3455,42531428.0,MY CHOICE PROGRAMS INC,,,https://www.mychoiceprograms.com/
39,3503,42545221.0,ELDER SERVICES OF WORCESTER AREA INC,% MARY BALTRAMAITIS,,https://eswa.org/
40,3586,42564426.0,CENTER FOR LIVING & WORKING INC,% KRISTINA COURNOYER,,https://www.centerlw.org/
41,3601,42572276.0,GREATER WORCESTER COMMUNITY FOUNDATION INC,% JOANNE REEGAN,,https://greaterworcester.org/
42,3710,42584084.0,WORCESTER AREA INTERGROUP INC,,,https://aaworcester.org/
43,3732,42587863.0,OPEN SKY COMMUNITY SERVICES INC,,,https://www.openskycs.org/
44,4169,42630078.0,NORTH CENTRAL HUMAN SERVICES INC,,,https://doctor.webmd.com
45,4358,42650517.0,BAR ADVOCATES OF WORCESTER COUNTY INC,,,https://www.publiccounsel.net
46,4388,42652922.0,TRAINING RESOURCES OF AMERICA INC,% MARY GLEASON,,https://www.tra-inc.org/
47,4641,42675801.0,WORCESTER JEWISH COMMUNITY HOUSING FOR THE ELDERLY INC,,,https://www.dnb.com
48,4875,42696489.0,SALEM COMMUNITY CORP,% BRENDA STANIKMAS,,https://www.dnb.com
49,5070,42711865.0,CASA PROJECT INC,% MARY SACKSTEDER,,https://www.thecasaproject.org/
50,5302,42734584.0,PATHWAYS FOR CHANGE INC,% VERNA KOSIBA,,https://pathwaysforchange.help/
51,5332,42737968.0,JUNIOR CRUSADERS YOUTH HOCKEY ASSOCIATION INC,,,https://jrcrusadershockey.com/
52,5593,42761051.0,ILLYRIAN GARDENS INC,,,https://www.apartments.com
53,5603,42761752.0,BY THE WAY INC,,,https://www.bythewaycom.org/
54,5707,42768202.0,ARTSWORCESTER,,ARTS WORCESTER,https://artsworcester.org/
55,5788,42775264.0,CENTRAL MASSACHUSETTS AREA,% JOANNE CALISTA,,https://en.wikipedia.org
56,5876,42781134.0,PROBLEM PREGNANCY OF WORCESTER INC,% MARGARET SPARKS PRES,,https://problempregnancy.org/
57,5975,42791448.0,CENTRAL MASSACHUSETTS HOUSING ALLIANCE INC,% MARY DALY,,https://www.cmhaonline.org/
58,6010,42794849.0,VNA CARE NETWORK INC,% CRYSTAL WELLWOOD,,https://vnacare.org/
59,6012,42795195.0,MENTAL HEALTH CENTER HOUSING INC,,,https://www.causeiq.com
60,6042,42799669.0,HUBBARDSTON ELDERLY HOUSING INC,% RCAP SOLUTIONS INC,,https://www.massaccesshousingregistry.org
61,6043,42799671.0,HOUSING FOR ROCKDALE ELDERS INC,% RCAP SOLUTIONS INC,,https://projects.propublica.org
62,6327,42880108.0,VNA CARE MANAGEMENT RESOURCES INC,% CRYSTAL WELLWOOD,,https://vnacare.org/
63,6333,42880644.0,WHY ME INC,% TERENCE J SHEPHERD,,https://whyme.org/
64,6446,42901298.0,WORCESTER REGIONAL RESEARCH BUREAU INC,% ROBERTA SCHAEFFER,,https://www.wrrb.org/
65,6519,42921313.0,THE JEWISH HOME FOR AGED FOUNDATION INC,% SUMNER SILVER,,https://www.jhccenter.org/
66,6526,42921465.0,MAIN SOUTH COMMUNITY DEVELOPMENT CORPORATION,% CARMEN VALLE,,https://www.mainsouthcdc.org/
