,EIN,NAME,ICO,SORT_NAME
62,10595450.0,VISITATION HOUSE INC,% EVELYN LINDQUIST,
78,10628266.0,BUILDING FUTURES INC,% PAUL J GIORGIO,
1085,41988530.0,WORCESTER ART MUSEUM,% DIRECTOR,
1090,41988955.0,WORCESTER COUNTY MECHANICS ASSOCIATION,% MECHANICS HALL,
1325,42103652.0,AMERICAN ANTIQUARIAN SOCIETY,% CAROL ANN MACKEY,
1363,42103803.0,JEWISH HEALTHCARE CENTER INC,% EMILY BOMBA,
1372,42103825.0,VNA CARE NETWORK INC,% CRYSTAL WELLWOOD,
1384,42103856.0,GIRL SCOUTS OF CENTRAL AND WESTERN MASSACHUSETTS INC,% GIRL,
1389,42103867.0,EASTER SEALS MASSACHUSETTS INC,,
1432,42104017.0,UNITED WAY OF CENTRAL MASSACHUSETTS INC,% JAMES HAYES,
1482,42104239.0,FRIENDLY HOUSE INC,% DELIA BELTRE,
1546,42104363.0,JEWISH FEDERATION OF CENTRAL MASSACHUSETTS INC,% EDIE RYAN,
1563,42104414.0,ODD FELLOWS HOME OF MASSACHUSETTS,% SUSAN CUSSON BREND BYRON,
1683,42105800.0,VISITING NURSE ASSOCIATION OF BOSTON INC,% CRYSTAL WELLWOOD,
1697,42105851.0,BOYS AND GIRLS CLUB OF WORCESTER,% KATIE ROY,
1702,42105859.0,WORCESTER CENTER FOR CRAFTS INC,% BRIAN RESTREPO,
1704,42105868.0,WORCESTER NATURAL HISTORY SOCIETY,,
1705,42105873.0,YWCA CENTRAL MASSACHUSETTS INC,,
1711,42105885.0,YOUNG MENS CHRISTIAN ASSOCIATION OF WORCESTER,% YMCA,
1941,42123666.0,GIRLS INCORPORATED OF WORCESTER,% TAMMY BROWN,
2024,42133874.0,EDWARD STREET DAY CARE CENTER INC,% EVE GILMORE,
2211,42171207.0,MUSIC WORCESTER INC,% GRKB,
2283,42195415.0,JUNIOR LEAGUE OF WORCESTER INC,,
2697,42309329.0,REGATTA POINT COMMUNITY SAILING INC,,
2751,42317926.0,BIG BROTHERS BIG SISTERS OF CENTRAL MASS METROWEST INC,% BEN TICHO,
2875,42382160.0,WORCESTER COMMUNITY ACTION COUNCIL INC,% FINANCE DEPARTMENT,
2971,42418109.0,ADCARE EDUCATIONAL INSTITUTE INC,,
3074,42446242.0,COMMUNITY LEGAL AID INC,,
3096,42449880.0,WEBSTER SQUARE DAY CARE CENTER INC,,
3115,42453851.0,PERNET FAMILY HEALTH SERVICE INC,,
3117,42454675.0,RCAP SOLUTIONS INC,,
3189,42470999.0,WORCESTER YOUTH ORCHESTRAS INC,% TREASURER,
3226,42478978.0,SPECTRUM HEALTH SYSTEMS INC,,
3247,42484586.0,WORCESTER COMPREHENSIVE CHILD CARE SERVICES INC,% RICHARD C CHOUINARD,
3255,42485308.0,FAMILY HEALTH CENTER OF WORCESTER INC,,
3322,42500578.0,WICN PUBLIC RADIO INC,% KATE TRAVELINE,
3363,42507815.0,RAINBOW CHILD DEVELOPMENT CENTER INC,,
3392,42513817.0,EDWARD M KENNEDY COMMUNITY HEALTH CENTER INC,% LEO AUDETTE CFO,
3455,42531428.0,MY CHOICE PROGRAMS INC,,
3503,42545221.0,ELDER SERVICES OF WORCESTER AREA INC,% MARY BALTRAMAITIS,
3586,42564426.0,CENTER FOR LIVING & WORKING INC,% KRISTINA COURNOYER,
3601,42572276.0,GREATER WORCESTER COMMUNITY FOUNDATION INC,% JOANNE REEGAN,
3710,42584084.0,WORCESTER AREA INTERGROUP INC,,
3732,42587863.0,OPEN SKY COMMUNITY SERVICES INC,,
4169,42630078.0,NORTH CENTRAL HUMAN SERVICES INC,,
4358,42650517.0,BAR ADVOCATES OF WORCESTER COUNTY INC,,
4388,42652922.0,TRAINING RESOURCES OF AMERICA INC,% MARY GLEASON,
4641,42675801.0,WORCESTER JEWISH COMMUNITY HOUSING FOR THE ELDERLY INC,,
4875,42696489.0,SALEM COMMUNITY CORP,% BRENDA STANIKMAS,
5070,42711865.0,CASA PROJECT INC,% MARY SACKSTEDER,
5302,42734584.0,PATHWAYS FOR CHANGE INC,% VERNA KOSIBA,
5332,42737968.0,JUNIOR CRUSADERS YOUTH HOCKEY ASSOCIATION INC,,
5593,42761051.0,ILLYRIAN GARDENS INC,,
5603,42761752.0,BY THE WAY INC,,
5707,42768202.0,ARTSWORCESTER,,ARTS WORCESTER
5788,42775264.0,CENTRAL MASSACHUSETTS AREA,% JOANNE CALISTA,
5876,42781134.0,PROBLEM PREGNANCY OF WORCESTER INC,% MARGARET SPARKS PRES,
5975,42791448.0,CENTRAL MASSACHUSETTS HOUSING ALLIANCE INC,% MARY DALY,
6010,42794849.0,VNA CARE NETWORK INC,% CRYSTAL WELLWOOD,
6012,42795195.0,MENTAL HEALTH CENTER HOUSING INC,,
6042,42799669.0,HUBBARDSTON ELDERLY HOUSING INC,% RCAP SOLUTIONS INC,
6043,42799671.0,HOUSING FOR ROCKDALE ELDERS INC,% RCAP SOLUTIONS INC,
6327,42880108.0,VNA CARE MANAGEMENT RESOURCES INC,% CRYSTAL WELLWOOD,
6333,42880644.0,WHY ME INC,% TERENCE J SHEPHERD,
6446,42901298.0,WORCESTER REGIONAL RESEARCH BUREAU INC,% ROBERTA SCHAEFFER,
6519,42921313.0,THE JEWISH HOME FOR AGED FOUNDATION INC,% SUMNER SILVER,
6526,42921465.0,MAIN SOUTH COMMUNITY DEVELOPMENT CORPORATION,% CARMEN VALLE,
6672,42943796.0,GODDARD HOMESTEAD INC,,
6724,42953171.0,VNA CARE ADVANTAGE INC,% CRYSTAL WELLWOOD,
6804,42970467.0,AIDS PROJECT WORCESTER INC,,
6886,42983234.0,GENESIS CLUB HOUSE INC,% JOSEPH BALDASSARRE,
6900,42985201.0,PARK SPIRIT OF WORCESTER INC,% RICKY MILLER,
7235,43041438.0,EASTERN ORTHODOX MANAGEMENT CORP,% STEPHEN FOTOS,
7476,43078401.0,MASSACHUSETTS ASSOCIATION FOR THE EDUCATION OF YOUNG CHILDREN INC,,
7643,43098024.0,VETERANS INC,% VETE,
7724,43103694.0,STRAIGHT AHEAD MINISTRIES INC,% NORMAN LEDUC,
7782,43108782.0,NOTRE DAME HEALTH CARE CENTER INC,% KAREN LAGANELLI,
7859,43117161.0,EL BUEN SAMARITANO FOOD PROGRAM INC,% OSIRIS REYES,
8271,43158699.0,WORCESTER INTERFAITH,% FRANK KARTHEISER,
8407,43169847.0,SCHOLARSHIP FUND OF WORCESTER DISTRICT MEDICAL SOCIETY,,
8756,43204139.0,UPSALA ELDER HOUSING CORPORATION,% HARRIET LEBOW,
8842,43211678.0,MEYERS PRIMARY CARE INSTITUTE INC,% MR BEN PRINCE,
8901,43217872.0,VNA CARE HOSPICE INC,% CRYSTAL WELLWOOD,
9193,43245867.0,WORCESTER YOUTH CENTER INC,% SAMUEL MARTIN,
